name,price,status,shipping,free_returns,items_sold
"Small Crossbody Bags for Women Men, Waterproof Mini Crossbody Fanny Pack with Fr",2329,Brand New,0,True,
Loungefly Pua Crossbody,10000,Brand New,898,False,
Harvey's SHAG Cocktails Scarf NWT,7800,Brand New,,False,0
"Spring - toned PU Hanging Glasses Bag w/Necklace, Korean Sunglass Hanging Kit",1190,Brand New,0,False,
Michael Kors Powder Blush Pink Emmy Saffiano Leather Medium Dome Crossbody Bag,6500,Pre-Owned,,False,0
Small Sling Bag for Women Leather Crossbody Handbag Bag Purse (Whitew W),1575,Brand New,0,True,0
Dooney & Bourke DB Sport Duck Lunch Bag,4900,Brand New,0,False,0
Malibu Skye Ladies Roomy Shoulder Bag ,4900,Brand New,0,False,0
12 Pieces Canvas Tote Bags Blank Plain Canvas Bag Lightweight Reusable Grocery,200,Brand New,991,False,0
Textured PU . Vegan Friendly square croc crossbody handbag.,1500,Brand New,,False,0
New High end Large Capacity Handbag Designer Crossbody Bag Fashion Bandolera Bag,9900,Brand New,0,False,
Dooney & Bourke Plumeria Shopper,19460,Brand New,0,False,0
Women Shoulder Handbag Cross Body Pouch Bag Leather Cell Phone Purse Wallet Case,998,Brand New,0,True,0
Victoria's Secret Pocket Tote,1495,Brand New,991,False,0
Dooney & Bourke Pebble Grain Buffy Crossbody,7500,Brand New,0,False,0
NEW Lug Rider Crossbody Bag Black - FREE SHIP,7999,New (Other),0,False,
Mini Cane Loop Bag – Handmade Woven Rattan Handbag | Boho Shoulder Purse,5569,Brand New,565,False,
"Die by Fashion Blown Away Gold, Black & White Designer Luxe Italian Travel Bag ",50900,New (Other),2395,True,0
Women's Black Vintage 1-Pocket Shoulder Bag - Cotton Canvas Gothic Purse,2399,Brand New,0,True,0
New Genuine leather shoulder bag /Hand Bag matching wallet earth tones Patchwork,2399,Brand New,0,False,0
Dooney & Bourke Art Deco Small Hobo,18760,Brand New,0,False,0
Dooney & Bourke Pebble Grain Buffy Crossbody,7500,Brand New,0,False,0
NEW Banana Republic MINI GIA CROSSBODY BAG Brown Color,18500,Brand New,1575,False,
Women Canvas Tote Bag Large Capacity Handbags & Shoulder Bags Zip Crossbody,1563,Brand New,0,False,0
Women Waterproof Mini Backpack Purse Adjustable Strap Shoulder Travel Rucksack,836,Brand New,0,False,0
NEW Elegant Women's Large Capacity Designer Shoulder Crossbody Bag Luxury Purse,12500,Brand New,0,False,
Corduroy Tote Bag Corduroy Crossbody Bags for Women Women's Shoulder Tote Bag,1785,Brand New,0,True,0
Small Cell Phone Purse Wallet Shoulder Bag Case Cross-body Pouch Handbag Women,999,Brand New,0,False,547
Genuine Leather Every Day Purse Shoulder or Cross Body Slim Light Weight & Soft ,1799,Brand New,0,True,258
Women Soft PU Leather Crossbody Sling Bag Purse Lightweight Vintage Shoulder Bag,1754,Brand New,0,True,
"Lululemon Reusable Shopping Gift Bag Yoga Tote Black  14""x16""X6""",898,New (Other),0,False,0
Telfar Leather Medium Black Shopping Bag,7977,Brand New,0,False,0
Waterproof Messenger Cross Body Ladies Handbag Shoulder Bag Womens Large Purse,1394,Brand New,0,True,0
Patricia Nash Vallata Turquoise Tooled Leather Crossbody Shoulder Bag NWT,8990,Brand New,990,True,
Waterproof Messenger Cross Body Ladies Handbag Bag Shoulder Bag Womens Purse ‖ ',1279,Brand New,0,False,0
"Fringe Black Purse, Concert Bag, Fringe Purse, Southwestern Bag, Boho Fringe Bag",6900,New (Other),,False,0
Kate Spade Miri Chester Street Crossbody Bag Black Grained Leather,5800,Pre-Owned,931,False,
Victoria's Secret Pink & White Striped Large Pocket Tote Shoulder Bag NWT,1495,Brand New,,False,0
ZARA Pink Peach Quilted Poly Stripe Satchel Cross Body Bag - MINI,3400,New (Other),,False,0
adidas Originals Monogram Mini Bowling Trefoil Bag JD5372,6999,Brand New,875,False,0
Lululemon Black Silver Everywhere 1L Unisex Belt Bag Sports Running,2190,Brand New,0,False,0
Women's Boston Bag Ladies Leather Shoulder Bag Crossbody Bag Satchel Large/Small,3798,Brand New,0,False,0
Women's Sling Bag Crossbody Shoulder Chest Sling Bag Sports Backpack Travel,718,Brand New,0,False,
Longchamp Le Pliage XS Light Pink Shoulder Mini Bag Pouch New Outlet Japan,8684,New (Other),0,True,0
Soft Weekender Bag - A New Day,1999,Brand New,0,True,0
New Fashion Women Bao bag style Foldable Women's Cube Shoulder bag  ,3900,New (Other),,False,13
Laptop Bag for Women Work 15.6 Inch Computer Tote Handbag Leather Shoulder Purse,3487,Brand New,0,True,0
Women Cowhide Genuine Leather Small Crossbody Bag Shoulder Purse Handbag,7715,Brand New,0,True,0
Valentino Crocodile Embossed Handbag Shoulder Bag Used,12599,Pre-Owned,0,True,0
Classic 6Pocket Soft Slim Small Leather Everyday Purse Shoulder Cross Body Black,1499,Brand New,0,True,0
Vintage MK Crossbody Bag - Cream,4000,Pre-Owned,,False,0
Crossbody Bags Leather Sling Bag for Trendy Women Black,1849,Brand New,0,True,0
EMM KUO black animal print fringe purse crossbody leather,14000,Pre-Owned,1121,False,
World Map Tote Bag Handmade Beach Shopping Travel Bag 16x17',1450,New (Other),980,False,
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
Hand Bag it has leopard pattern it has shoulder strap with zipper color is brown,1700,Pre-Owned,695,False,
Philipp Plein Small Sholder Bag,29050,Pre-Owned,1700,False,
Mark and Graham Concourse Vegan Leather Boarding Bag,6500,Pre-Owned,1826,False,0
BRAND NEW BOTTEGA VENETA Canalazzo Boots Ivory Size 40 Designer Retail $2450,120000,Brand New,0,False,0
Waterproof Messenger Cross Body Ladies Handbag Bag Shoulder Bag Womens Purse ,1049,Brand New,0,True,2431
NEW Women's Diamond Grid Shoulder Bag Light Luxury Crossbody Handbag for Ladies,12000,Brand New,0,False,
Kate Spade Neve Shearling Beaded Shoulder Bag Black Fur Double Zip Small,9000,Brand New,1000,False,
"Women's Travel Handbag Organizer Insert-Multi-Pocket Purse Liner, Tote Organizer",780,Brand New,0,True,2710
32 Degrees Unisex Crossbody Bag Blue,1600,Brand New,484,False,
Lululemon All Night Festival Bag - 5L - Black & Silver,6400,Brand New,0,False,0
Juicy Couture,9000,Brand New,1000,False,
Saddle bag With fringe,14000,Pre-Owned,800,False,
high quality leather wallet for lovely ladies💣,17000,Brand New,,False,
"Rothy's The Belt Bag Gray Mist Machine Washable Clutch, Cross Body Belt Bag",8450,New (Other),871,True,0
Panache Collection adventure tote Textured Desert Cotton design BRAND NEW,4999,Brand New,1571,False,
Thermo Bag for Water Bottles Tumbler,3999,Brand New,484,False,
Tory Burch Tote Bag,12500,Pre-Owned,1658,False,
B MAKOWSKY HOBO SHOULDER BAG CROSSBODY PURSE LEATHER Cream / Black / Silver,7999,Pre-Owned,1295,False,
purse -Bueno shoulder bag,1800,New (Other),1000,False,
The Sak Hand Crocheted Wooden Beads Ecru Multicolor Clutch NEW Womens Small Bag,1700,New (Other),,False,0
MOSSDOOM shoulder bag simple bag for women Black,5290,Brand New,0,False,0
Lululemon New Key Bag Wallet Buckle Bag Dual Pouch Wristlet Purple,2059,Brand New,0,False,0
MICHAEL KORS JET SET ITEM EAST WEST SHOULDER CROSSBODY BAG MK BROWN,6500,Brand New,0,True,14
Lululemon Festive Bag Dance Your Asana Off Black,6500,Pre-Owned,885,False,
Kate Spade Blue Glitter Crossbody Bag,14900,Brand New,1052,False,
"Shoulder Crossbody Bag Women Working Bookbag Handbag Travel Work Messenger Bag,",1167,Brand New,0,False,
Women's Handcrafted Genuine Leather Purse with Adjustable Strap - Black,1995,Brand New,0,False,
$1850 Ferrari RUNWAY Logo-Embossed Patent Leather Mini Tote GT Bag SOLD OUT,119900,New (Other),1915,False,
Dior Limited Edition Raffia Flowers Tote Bag Pristine,112500,Pre-Owned,4229,False,0
Dooney Bourke Madison Signature Giant Satchel new with tags  - Tan,12500,Brand New,2392,False,0
Black Leather Stone Mountain Crossbody Purse with Inner and Outer Pockets.,1800,Pre-Owned,850,False,
KPLUSPOP Enhypen K-POP Logo Graphic Tote Shoulder Bag,1499,New (Other),600,False,
Lululemon New Dual Pouch Wristlet Key Bag Wallet Buckle Bag Black/Gold Pink/Gold,2592,Brand New,0,False,74
Coach Black Twill Fabric Leather Trim Shoulder Purse,3499,Pre-Owned,,False,0
Myra Bag Rolling Plains Gorgeous Hand-tooled Leather Handbag Purse Brand New,8500,Brand New,1710,False,
Dooney & Bourke Pebble Grain Newport Shoulder Tote,15999,Brand New,0,False,0
Brand New - Lululemon Everywhere Women's Belt Bag - Black,2599,Brand New,0,False,19
Dooney & Bourke Gretta Geena Satchel,9500,Brand New,0,False,0
Speert Designer Evening Bag Jackpot Casino Gambling Theme Style 4154,790,Brand New,0,True,0
Maison N.H Paris | Kochi Handbag in Warm Olive | NWT | Handcrafted Handbag,13000,Brand New,0,False,0
Dooney & Bourke Pebble Grain Camera Crossbody,11500,Brand New,0,False,0
PU leather Backpack for Women Purse Shoulder Bags Travel Backpack,1519,Brand New,0,False,0
American Darling Women's Signature Crossbody Handbag,7999,Brand New,0,False,0
Herschel Supply Co. Cruz Crossbody Strap Bag Ash Rose,1995,Brand New,0,False,
Dooney & Bourke Wayfarer Zip Tote,7900,Brand New,0,False,0
Women’s Hand Bags ,3000,Brand New,1000,False,
Dooney & Bourke Pebble Grain Crossbody Hobo,13900,Brand New,0,False,0
Women Denim Handbag Shoulder Lady Crossbody Bag Tote Messenger Satchel Purse,1545,Brand New,0,False,0
The Sak Genuine Soft Black  Leather Tote Crossbody Bag,2000,Pre-Owned,1034,False,
Michael Kors Dover Medium Pebbled Leather Half Moon Crossbody Bag $448,9994,Brand New,0,True,
NEW Elegant 'High-End Women's Diamond Grid Crossbody Shoulder Bag,12500,Brand New,0,False,
