name,price,status,shipping,free_returns,items_sold
Evil-Eye Seraphim Jewelry Vintage Silver Look Nazar Hamsa Pendant Necklace,1443,Brand New,0,True,0
Fashion Cubic Zircon 925 Silver Filled Ring Women Wedding Jewelry Gift Sz 6-10,243,Brand New,210,True,76
925 Silver Star Stud Earrings Women White Jewelry Wedding Party Gift,107,Brand New,0,False,608
Vintage Chrome Hearts Cross Necklace,3000,Brand New,451,False,0
Vintage Western Style Oval Turquoise Rings for Women Men Fashion Jewelry Gift,135,New (Other),0,False,
"Black fire Opal beaded bracelet, Black opal jewelry, Natural fire opal bracelet",2025,Brand New,0,True,
Brass Bangle Handcrafted Vermeil Artisan Wife Wedding Unique Boho Bangle Jewelry,1203,New (Other),0,True,0
Iced Out Stud Earrings Gold Plated With Cubic Zirconia Hip Hop Jewelry Men Women,499,New (Other),0,True,0
Men's African Necklace African Beaded Coconut Shell Jewelry Surfer Necklace Gift,699,Brand New,0,False,0
Rainbow Mystic Topaz Faceted Necklace Bracelet Ring Earrings Set Jewelry,499,New (Other),0,True,
Blessed Silver Plated Cross Pendant Necklace for Women Men Chain Fashion Jewelry,89,Brand New,0,False,164
"Genuine Natural Tahitian Black Pearl Jewelry Necklace 14-48"" 7-8/8-9/9-10mm",1950,New (Other),0,False,
Fashion Women Wedding Jewelry Cubic Zircon Ring 925 Silver Filled Ring Sz 6-10,213,Brand New,210,True,235
Gorgeous Women Wedding Jewelry Pink/Cubic Zircon 925 Silver Plated Ring Sz 6-10,211,Brand New,210,True,252
Natural Stone Hexagonal Pendant Necklace Healing Crystal Quartz Chakra Jewelry,399,New (Other),0,True,0
Gold Ring Jewelry Cubic Zircon 925 Silver Filled Band Ring Fashion Exquisite,192,Brand New,0,False,
Red Fire Labradorite Pendant Handmade Gemstone Jewelry Copper Wire Wrap Pendant,2370,New (Other),0,True,115
"Pretty Cubic Zirconia 925 Silver Plated,Gold Plated Ring Women Jewelry Size 6-10",198,Brand New,210,True,
Gorgeous 925 Silver Filled Rings Women Cubic Zircon Jewelry Wedding Gift Sz 6-10,231,Brand New,210,True,0
Labradorite Gemstone Pendant 925 Silver Plated Wholesale 10pcs Jewelry Lots,1499,New (Other),0,True,101
Two Way Frog Earrings Frog Lover Jewelry Vintage Silver Earrings Funny Earrings,796,Brand New,0,False,0
Korean Fashion Feet Chain Simple Bracelet Adjustable Anklet Chain Women Jewelry,77,New (Other),0,False,110
Lucky Moonstone Beads Cat Bracelet Attracting Wealth Women Jewelry Gift New,117,Brand New,0,False,1119
Fashion 925 Silver White Daisy Flower Stud Earrings Womens Jewellery Accessories,98,New (Other),0,False,0
Gold Plated Hoop Dangle Earrings Fashion Jewelry For Women 18mm Medium Size,399,New (Other),0,True,0
Red Fire Labradorite Gemstone Pendant 925 Sterling Silver Jewelry Pendant,1599,Brand New,0,False,
Fashion Rose Gold White Simulated Opal Jellyfish Pendant Necklaces Jewelry,140,Brand New,141,True,
Fashion Zircon Bee Earrings Cubic Zircon Jewelry Vintage Bee Stud Earrings,199,Brand New,0,False,
Mozambique Garnet Gemstone Handmade 925 Sterling Silver Jewelry Pendant 1.8'',1080,New (Other),0,False,15
"6 Pack Magnetic Necklace Clasps and Closures, 18K Gold and Silver Plated Jewelry",794,Brand New,0,False,0
Stainless Steel Ring Men's Ring Finger Jewelry Wedding Ring Punk Ring Creative !,155,Brand New,66,False,0
Blue Flash Labradorite Gemstone Pendant 925 Sterling Silver Women Jewelry MO*,1652,New (Other),0,False,0
Fashion Jewelry Lightning Bolt Pendant Necklace Gold Silver Rose Gold  TK8-3,1040,Brand New,0,False,0
Wholesale Lot 10 pcs Mixed Lady Queen Cameo Necklace Flower Pendant Jewelry,1599,New (Other),0,True,41
Gorgeous 925 Silver Filled Cubic Zircon Necklace Pendant Women Wedding Jewelry,237,Brand New,210,True,841
16Pcs Ring Size Adjuster Invisible Clear Ring Sizer Jewelry Fit Reducer Guard US,586,Brand New,0,True,0
New Cute Colorful Flower Beads Rings Finger Handmade Women Summer Jewellery Hot,87,New (Other),0,False,
 10pcs Hot Sale 925 Sterling Solid Silver 1mm Snake Chain Necklace Jewelry Gift,689,New (Other),0,False,
Pendants Chain Jewelry Necklaces Pendant Necklace Fashion Jewelry Charm,99,Brand New,0,False,23
Mozambic Garnet Gemstone Handmade 925 Sterling Silver Jewelry Pendant for Gifts,999,New (Other),0,False,178
10 Pcs Gold & Silver Color Magnetic Lobster Clasp for Jewelry Necklace Bracelet,799,Brand New,0,True,821
BULK Cardboard Kraft Paper JEWELRY GIFT BOXES Cotton Filled SILVER for Shipping,919,Brand New,0,True,0
